0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,negative
0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,negative
0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,negative
0.46,0.44,0.52,0.11,0.5,0.0,0.5,0.22,negative
0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,negative
0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,negative
0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,negative
0.46,0.53,0.52,0.15,0.5,0.0,0.58,0.22,negative
0.57,0.47,0.6,0.18,0.5,0.0,0.51,0.22,negative
0.38,0.61,0.61,0.12,0.5,0.0,0.53,0.47,negative
0.4,0.45,0.57,0.18,0.5,0.0,0.56,0.26,negative
0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,negative
0.64,0.59,0.56,0.23,0.5,0.0,0.46,0.22,negative
0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,negative
0.66,0.62,0.49,0.1,0.5,0.0,0.49,0.22,negative
0.38,0.49,0.53,0.19,0.5,0.0,0.5,0.22,negative
0.54,0.48,0.44,0.08,0.5,0.0,0.52,0.27,negative
0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,negative
0.34,0.46,0.57,0.09,0.5,0.0,0.55,0.22,negative
0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22,negative
0.47,0.39,0.59,0.15,0.5,0.0,0.57,0.22,negative
0.42,0.47,0.52,0.41,0.5,0.0,0.53,0.32,negative
0.49,0.61,0.49,0.25,0.5,0.0,0.5,0.28,negative
0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,negative
0.47,0.39,0.55,0.24,0.5,0.0,0.47,0.22,negative
0.3,0.56,0.55,0.18,0.5,0.0,0.5,0.22,negative
0.65,0.65,0.52,0.16,0.5,0.0,0.6,0.22,negative
0.4,0.62,0.52,0.31,0.5,0.0,0.49,0.31,negative
0.6,0.5,0.57,0.25,0.5,0.0,0.41,0.26,negative
0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31,negative
0.29,0.32,0.58,0.15,0.5,0.0,0.5,0.3,negative
0.43,0.57,0.53,0.16,0.5,0.0,0.54,0.22,negative
0.39,0.55,0.48,0.31,0.5,0.0,0.54,0.29,negative
0.44,0.39,0.53,0.14,0.5,0.0,0.54,0.44,negative
0.45,0.43,0.51,0.24,0.5,0.0,0.54,0.33,negative
0.42,0.43,0.56,0.1,0.5,0.0,0.49,0.22,negative
0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,negative
0.54,0.49,0.49,0.2,0.5,0.0,0.52,0.22,negative
0.21,0.41,0.55,0.11,0.5,0.0,0.5,0.27,negative
0.24,0.34,0.69,0.18,0.5,0.0,0.52,0.22,negative
0.49,0.43,0.51,0.13,0.5,0.0,0.47,0.22,negative
0.43,0.57,0.53,0.53,0.5,0.0,0.53,0.25,negative
0.48,0.64,0.61,0.23,0.5,0.0,0.6,0.22,negative
0.31,0.55,0.52,0.17,0.5,0.0,0.52,0.22,negative
0.32,0.57,0.5,0.15,0.5,0.0,0.53,0.22,negative
0.32,0.42,0.52,0.24,0.5,0.0,0.6,0.22,negative
0.37,0.42,0.51,0.11,0.5,0.0,0.57,0.22,negative
0.44,0.42,0.6,0.21,0.5,0.0,0.57,0.22,negative
0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,negative
0.35,0.66,0.49,0.21,0.5,0.0,0.54,0.25,negative
0.52,0.4,0.6,0.12,0.5,0.0,0.55,0.22,negative
0.56,0.41,0.58,0.21,0.5,0.0,0.42,0.22,negative
0.41,0.51,0.58,0.15,0.5,0.0,0.45,0.27,negative
0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,negative
0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,negative
0.38,0.48,0.59,0.22,0.5,0.0,0.46,0.22,negative
0.56,0.52,0.55,0.19,0.5,0.0,0.54,0.22,negative
0.52,0.54,0.5,0.21,0.5,0.0,0.48,0.3,negative
0.55,0.46,0.53,0.11,0.5,0.0,0.52,0.48,negative
0.45,0.56,0.54,0.32,0.5,0.0,0.57,0.22,negative
0.45,0.56,0.53,0.32,0.5,0.0,0.57,0.22,negative
0.54,0.65,0.49,0.34,0.5,0.0,0.52,0.22,negative
0.59,0.58,0.46,0.19,0.5,0.0,0.56,0.27,negative
0.55,0.56,0.45,0.14,0.5,0.0,0.54,0.22,negative
0.32,0.47,0.55,0.12,0.5,0.0,0.52,0.22,negative
0.35,0.46,0.49,0.15,1.0,0.0,0.55,0.35,negative
0.43,0.51,0.48,0.14,0.5,0.0,0.5,0.22,negative
0.57,0.61,0.45,0.26,0.5,0.0,0.5,0.22,negative
0.63,0.62,0.42,0.12,0.5,0.0,0.52,0.25,negative
0.25,0.4,0.51,0.18,0.5,0.0,0.5,0.27,negative
0.56,0.62,0.53,0.24,0.5,0.0,0.57,0.22,negative
0.58,0.6,0.51,0.24,0.5,0.0,0.53,0.22,negative
0.35,0.36,0.57,0.17,0.5,0.0,0.52,0.22,negative
0.47,0.47,0.58,0.16,0.5,0.0,0.49,0.28,negative
0.41,0.39,0.51,0.52,0.5,0.0,0.49,0.22,negative
0.69,0.6,0.5,0.31,0.5,0.0,0.55,0.22,negative
0.55,0.66,0.57,0.32,0.5,0.0,0.57,0.34,negative
0.62,0.58,0.52,0.15,0.5,0.0,0.52,0.29,negative
0.5,0.5,0.48,0.17,0.5,0.0,0.47,0.26,negative
0.45,0.42,0.52,0.2,0.5,0.0,0.5,0.25,negative
0.42,0.39,0.47,0.13,0.5,0.0,0.5,0.27,negative
0.32,0.38,0.52,0.2,0.5,0.0,0.52,0.28,negative
0.59,0.65,0.52,0.3,0.5,0.0,0.46,0.31,negative
0.37,0.33,0.5,0.12,0.5,0.0,0.51,0.54,negative
0.45,0.56,0.49,0.17,0.5,0.0,0.52,0.22,negative
0.64,0.53,0.45,0.13,0.5,0.0,0.53,0.22,negative
0.52,0.51,0.51,0.12,0.5,0.0,0.51,0.4,negative
0.49,0.43,0.48,0.15,0.5,0.0,0.55,0.25,negative
0.49,0.47,0.52,0.16,0.5,0.0,0.53,0.28,negative
0.48,0.39,0.49,0.18,0.5,0.0,0.51,0.22,negative
0.49,0.42,0.54,0.17,0.5,0.0,0.5,0.36,negative
0.74,0.53,0.5,0.08,0.5,0.0,0.55,0.31,negative
